,act,bemp,lat,lng,sbi,sno,tot,HUMD,H_24R,PRES,TEMP,WDIR,WDSE,CloudA,GloblRad,PrecpHour,SeaPres,UVI,Visb,WDGust,WSGust,td
2018-02-01 00:00:00,1.0,48.083333333333336,25.040857888900003,121.56790444400002,131.91666666666666,1.0,180.0,90.0,0.5,1018.6,11.3,75.0,1.6,0.0,,1.0,1023.4,,0.0,10.0,7.8,10.1
2018-02-01 01:00:00,1.0,50.333333333333336,25.040857888900003,121.56790444400002,129.66666666666666,1.0,180.0,89.0,0.0,1018.1,10.9,78.0,1.4,0.0,,1.0,1023.3,,0.0,10.0,9.1,9.8
2018-02-01 02:00:00,1.0,51.916666666666664,25.040857888900003,121.56790444400002,128.08333333333334,1.0,180.0,89.0,1.0,1018.3,10.4,80.0,3.3,0.0,,1.0,1022.9,,0.0,70.0,7.3,9.7
2018-02-01 03:00:00,1.0,53.666666666666664,25.040857888900003,121.56790444400002,126.33333333333333,1.0,180.0,88.0,0.5,1018.0,10.0,92.0,3.1,0.0,,1.0,1022.9,,0.0,40.0,6.6,8.8
2018-02-01 04:00:00,1.0,55.1,25.040857888900003,121.567904444,124.9,1.0,180.0,90.0,1.0,1018.0,10.0,105.0,0.9,0.0,,1.0,1023.2,,0.0,10.0,6.6,9.3
2018-02-01 05:00:00,1.0,54.63636363636363,25.040857888900003,121.56790444400002,125.36363636363636,1.0,180.0,89.0,0.0,1018.6,9.9,0.0,0.0,0.0,0.0,1.0,1023.5,,0.0,10.0,7.2,8.7
2018-02-01 06:00:00,1.0,52.916666666666664,25.040857888900003,121.56790444400002,127.08333333333333,1.0,180.0,91.0,0.0,1018.8,9.8,134.0,0.4,0.0,0.0,0.2,1023.7,,0.0,60.0,6.8,9.0
2018-02-01 07:00:00,1.0,52.25,25.040857888900003,121.56790444400002,127.58333333333333,1.0,180.0,92.0,0.0,1019.3,10.0,0.0,0.0,0.0,0.0,0.0,1024.5,8.0,0.0,340.0,4.4,9.6
2018-02-01 08:00:00,1.0,59.666666666666664,25.040857888900003,121.56790444400002,118.83333333333333,1.0,180.0,93.0,0.0,1019.8,10.3,139.0,0.8,0.0,0.0,0.0,1025.2,6.0,0.0,200.0,2.5,9.8
2018-02-01 09:00:00,1.0,48.416666666666664,25.040857888900003,121.56790444400002,131.58333333333334,1.0,180.0,93.0,0.0,1020.2,10.4,0.0,0.0,0.0,0.0,0.0,1025.0,,0.0,210.0,3.6,9.7
2018-02-01 10:00:00,1.0,40.72727272727273,25.040857888900003,121.56790444400002,138.0,1.0,180.0,94.0,0.0,1019.4,10.5,0.0,0.1,0.0,0.0,0.0,1024.5,3.5,0.0,210.0,2.6,10.0
2018-02-01 11:00:00,1.0,37.833333333333336,25.040857888900003,121.56790444400002,140.08333333333334,1.0,180.0,94.0,0.5,1018.5,10.7,0.0,0.0,0.0,0.0,0.0,1023.4,,0.0,210.0,2.5,10.3
2018-02-01 12:00:00,1.0,25.333333333333332,25.040857888900003,121.56790444400002,152.66666666666666,1.0,180.0,94.0,0.0,1017.4,10.8,0.0,0.0,0.0,0.0,0.9,1022.2,,0.0,100.0,3.5,10.0
2018-02-01 13:00:00,1.0,30.818181818181817,25.040857888900003,121.56790444400002,146.8181818181818,1.0,180.0,94.0,0.5,1016.5,11.0,130.0,0.7,1.0,0.0,1.0,1021.5,3.5,0.0,60.0,4.2,10.7
2018-02-01 14:00:00,1.0,55.916666666666664,25.040857888900003,121.56790444400002,120.08333333333333,1.0,180.0,94.0,0.0,1016.3,11.2,93.0,0.4,0.0,0.0,1.0,1021.3,,0.0,50.0,6.0,10.6
2018-02-01 15:00:00,1.0,37.5,25.040857888900003,121.56790444400002,138.5,1.0,180.0,94.0,0.5,1016.8,11.5,99.0,0.4,0.0,0.0,0.8,1021.8,,0.0,40.0,5.3,10.7
2018-02-01 16:00:00,1.0,36.09090909090909,25.040857888900003,121.56790444400002,139.9090909090909,1.0,180.0,94.0,0.0,1016.8,11.5,0.0,0.1,0.0,0.0,0.0,1021.8,4.0,0.0,80.0,6.9,11.0
2018-02-01 17:00:00,1.0,39.25,25.040857888900003,121.56790444400002,136.75,1.0,180.0,94.0,0.0,1016.2,11.7,90.0,1.5,0.0,0.0,0.0,1021.2,,0.0,40.0,7.3,11.1
2018-02-01 18:00:00,1.0,38.0,25.040857888900003,121.56790444400002,138.0,1.0,180.0,93.0,0.0,1017.0,11.9,68.0,0.9,0.0,0.0,0.0,1022.7,,0.0,40.0,7.3,11.4
2018-02-01 19:00:00,1.0,44.0,25.040857888900003,121.56790444400002,132.0,1.0,180.0,92.0,0.5,1018.5,12.2,75.0,2.1,0.0,,0.0,1023.3,,0.0,50.0,6.5,11.2
