mday,sno,sbi,lng,lat,bemp,act,tot,HUMD,PRES,TEMP,WDIR,H_24R,WDSE,WSGust,SeaPres,GloblRad,CloudA,PrecpHour,UVI,Visb,WDGust,td,hours,weekdaywhich,isWorkday,1h_bemp,1h_sbi,2h_bemp,2h_sbi,3h_bemp,3h_sbi,1d_bemp,1d_sbi,2d_bemp,2d_sbi,3d_bemp,3d_sbi,4d_bemp,4d_sbi,5d_bemp,5d_sbi,6d_bemp,6d_sbi,7d_bemp,7d_sbi,0h_bemp,0h_sbi,target_predict_time
2018/2/1 01:00,1.0,51.91666667,25.04085789,121.5679044,128.0833333,1.0,180.0,89.0,0.0,1018.1,10.9,78.0,1.4,0.0,0.0,1.0,1023.3,8.0,0.0,10,9.1,9.8,1,3,1,,,,,,,,,,,,,,,,,,,,,129.6666667,50.33333333,1
2018/2/1 02:00,1.0,53.66666667,25.04085789,121.5679044,126.3333333,1.0,180.0,89.0,1.0,1018.3,10.4,80.0,3.3,0.0,0.0,1.0,1022.9,8.0,0.0,70,7.3,9.7,2,3,1,129.6666667,50.33333333,,,,,,,,,,,,,,,,,,,128.0833333,51.91666667,1
2018/2/1 03:00,1.0,55.1,25.04085789,121.5679044,124.9,1.0,180.0,88.0,0.5,1018.0,10.0,92.0,3.1,0.0,0.0,1.0,1022.9,8.0,0.0,40,6.6,8.8,3,3,1,128.0833333,51.91666667,129.6666667,50.33333333,,,,,,,,,,,,,,,,,126.3333333,53.66666667,1
2018/2/1 04:00,1.0,54.63636364,25.04085789,121.5679044,125.3636364,1.0,180.0,90.0,1.0,1018.0,10.0,105.0,0.9,0.0,0.0,1.0,1023.2,8.0,0.0,10,6.6,9.3,4,3,1,126.3333333,53.66666667,128.0833333,51.91666667,129.6666667,50.33333333,,,,,,,,,,,,,,,124.9,55.1,1
2018/2/1 05:00,1.0,52.91666667,25.04085789,121.5679044,127.0833333,1.0,180.0,89.0,0.0,1018.6,9.9,0.0,0.0,0.0,0.0,1.0,1023.5,8.0,0.0,10,7.2,8.7,5,3,1,124.9,55.1,126.3333333,53.66666667,128.0833333,51.91666667,,,,,,,,,,,,,,,125.3636364,54.63636364,1
2018/2/1 06:00,1.0,52.25,25.04085789,121.5679044,127.5833333,1.0,180.0,91.0,0.0,1018.8,9.8,134.0,0.4,0.0,0.0,0.2,1023.7,8.0,0.0,60,6.8,9.0,6,3,1,125.3636364,54.63636364,124.9,55.1,126.3333333,53.66666667,,,,,,,,,,,,,,,127.0833333,52.91666667,1
2018/2/1 07:00,1.0,59.66666667,25.04085789,121.5679044,118.8333333,1.0,180.0,92.0,0.0,1019.3,10.0,0.0,0.0,0.0,0.0,0.0,1024.5,8.0,0.0,340,4.4,9.6,7,3,1,127.0833333,52.91666667,125.3636364,54.63636364,124.9,55.1,,,,,,,,,,,,,,,127.5833333,52.25,1
2018/2/1 08:00,1.0,48.41666667,25.04085789,121.5679044,131.5833333,1.0,180.0,93.0,0.0,1019.8,10.3,139.0,0.8,0.0,0.0,0.0,1025.2,6.0,0.0,200,2.5,9.8,8,3,1,127.5833333,52.25,127.0833333,52.91666667,125.3636364,54.63636364,,,,,,,,,,,,,,,118.8333333,59.66666667,1
2018/2/1 09:00,1.0,40.72727273,25.04085789,121.5679044,138.0,1.0,180.0,93.0,0.0,1020.2,10.4,0.0,0.0,0.0,0.0,0.0,1025.0,4.75,0.0,210,3.6,9.7,9,3,1,118.8333333,59.66666667,127.5833333,52.25,127.0833333,52.91666667,,,,,,,,,,,,,,,131.5833333,48.41666667,1
2018/2/1 10:00,1.0,37.83333333,25.04085789,121.5679044,140.08333330000002,1.0,180.0,94.0,0.0,1019.4,10.5,0.0,0.1,0.0,0.0,0.0,1024.5,3.5,0.0,210,2.6,10.0,10,3,1,131.5833333,48.41666667,118.8333333,59.66666667,127.5833333,52.25,,,,,,,,,,,,,,,138.0,40.72727273,1
2018/2/1 11:00,1.0,25.33333333,25.04085789,121.5679044,152.66666669999995,1.0,180.0,94.0,0.5,1018.5,10.7,0.0,0.0,0.0,0.0,0.0,1023.4,3.5,0.0,210,2.5,10.3,11,3,1,138.0,40.72727273,131.5833333,48.41666667,118.8333333,59.66666667,,,,,,,,,,,,,,,140.08333330000002,37.83333333,1
2018/2/1 12:00,1.0,30.81818182,25.04085789,121.5679044,146.81818180000005,1.0,180.0,94.0,0.0,1017.4,10.8,0.0,0.0,0.0,0.0,0.9,1022.2,3.5,0.0,100,3.5,10.0,12,3,1,140.08333330000002,37.83333333,138.0,40.72727273,131.5833333,48.41666667,,,,,,,,,,,,,,,152.66666669999995,25.33333333,1
